Kode,Jadwal,Group1,Group2,Group3,Blocked,WaktuAkhir
MT1jam1,Senin-07.00-08.00,1,1,1,0,1
MT1jam2,Senin-08.00-09.00,1,1,1,0,0
MT1jam3,Senin-09.00-10.00,1,2,1,0,0
MT1jam4,Senin-10.00-11.00,1,2,1,0,0
MT1jam5,Senin-13.00-14.00,1,3,2,0,0
MT1jam6,Senin-14.00-15.00,1,3,2,0,0
MT1jam7,Senin-15.00-16.00,1,4,2,0,0
MT1jam8,Senin-16.00-17.00,1,4,2,0,1
MT1jam9,Selasa-07.00-08.00,2,5,3,0,1
MT1jam10,Selasa-08.00-09.00,2,5,3,0,0
MT1jam11,Selasa-09.00-10.00,2,6,3,0,0
MT1jam12,Selasa-10.00-11.00,2,6,3,0,0
MT1jam13,Selasa-13.00-14.00,2,7,4,0,0
MT1jam14,Selasa-14.00-15.00,2,7,4,0,0
MT1jam15,Selasa-15.00-16.00,2,8,4,0,0
MT1jam16,Selasa-16.00-17.00,2,8,4,0,1
MT1jam17,Rabu-07.00-08.00,3,9,5,0,1
MT1jam18,Rabu-08.00-09.00,3,9,5,0,0
MT1jam19,Rabu-09.00-10.00,3,10,5,1,0
MT1jam20,Rabu-10.00-11.00,3,10,5,1,0
MT1jam21,Rabu-13.00-14.00,3,11,6,0,0
MT1jam22,Rabu-14.00-15.00,3,11,6,0,0
MT1jam23,Rabu-15.00-16.00,3,12,6,0,0
MT1jam24,Rabu-16.00-17.00,3,12,6,0,1
MT1jam25,Kamis-07.00-08.00,4,13,7,0,1
MT1jam26,Kamis-08.00-09.00,4,13,7,0,0
MT1jam27,Kamis-09.00-10.00,4,14,7,0,0
MT1jam28,Kamis-10.00-11.00,4,14,7,0,0
MT1jam29,Kamis-13.00-14.00,4,15,8,0,0
MT1jam30,Kamis-14.00-15.00,4,15,8,0,0
MT1jam31,Kamis-15.00-16.00,4,16,8,0,0
MT1jam32,Kamis-16.00-17.00,4,16,8,0,1
MT1jam33,Jumat-07.00-08.00,5,17,9,0,1
MT1jam34,Jumat-08.00-09.00,5,17,9,0,0
MT1jam35,Jumat-09.00-10.00,5,18,9,0,0
MT1jam36,Jumat-10.00-11.00,5,18,9,0,0
MT1jam37,Jumat-13.00-14.00,5,19,10,0,0
MT1jam38,Jumat-14.00-15.00,5,19,10,0,0
MT1jam39,Jumat-15.00-16.00,5,20,10,0,0
MT1jam40,Jumat-16.00-17.00,5,20,10,0,1
