NO,KodeMatkul,NamaMatkul,Tingkat,MatkulSusah,Tipe,sks,no_kelas,KuotaMatkul,jml_peserta,NamaDosen,InisialDosen,ruanganfix1jam,ruanganfix2jam,ruanganfix4jam,jadwalfix,jadwal1jam,Group1jam,Group3_1jam,jadwal2jam,Group2jam,Group3_2jam,jadwal4jam,Group4jam
1,TF2101,Matematika Fisika I,2,0,1,3,01,60,51,"Prof. Ir. Hermawan Kresno Dipojono, M.S.EE, Ph.D. (1.5 SKS)
Ir. Miranti Indar Mandasari, S.T., M.T., Ph.D., IPM. (1.5 SKS)","HK, MI",0,0,0,0,0,0,0,0,0,0,0,0
2,TF2101,Matematika Fisika I,2,0,1,3,02,60,50,"Ganes Shukri, S.T., M.Eng., Ph.D. (1.5 SKS)
Ashari budi Nugraha, S.T., M.T. (1.5 SKS)","GS, AN",0,0,0,0,0,0,0,0,0,0,0,0
3,TF2102,Probabilitas dan Statistik,2,0,1,3,01,60,49,"Ir. Estiyanti Ekawati, M.T, Ph.D. (1.5 SKS)
Anugrah Sabdono Sudarsono, S.T, M.T, Ph.D. (1.5 SKS)","EE, AS",0,0,0,0,0,0,0,0,0,0,0,0
4,TF2102,Probabilitas dan Statistik,2,0,1,3,02,60,55,"Ir. Miranti Indar Mandasari, S.T., M.T., Ph.D., IPM. (1.5 SKS)
Rizki Armanto Mangkuto, S.T., M.T., Ph.D. (1.5 SKS)","MI, RM",0,0,0,0,0,0,0,0,0,0,0,0
5,TF2103,Komputasi Rekayasa,2,0,1,3,01,60,48,"Dr. Eng. Nugraha (1.5 SKS)
Fadjar Fathurrahman, S.T, M.Si., Ph.D. (1.5 SKS)","NG, FF",0,0,0,1,0,0,0,Selasa-13.00-15.00,7,4,0,0
6,TF2103,Komputasi Rekayasa,2,0,1,3,02,60,47,"Dr. Eng. Muhammad Haris Mahyuddin, S.T., M.Eng. (1.5 SKS)
Iwan Prasetiyo, S.T, M.T, Ph.D. (1.5 SKS)","MH, IP",0,0,0,0,0,0,0,0,0,0,0,0
7,TF2104,Rekayasa Termal,2,0,1,3,01,70,48,"Dr. Rahmat Romadhon, S.T, M.T. (3 SKS)
Dr. Ahmad Rifqi Muchtar, S.T., M.T. (1 SKS)","RR, AR",0,0,0,0,0,0,0,0,0,0,0,0
8,TF2104,Rekayasa Termal,2,0,1,3,02,70,50,"Dr. Damar Rastri Adhika, S.T, M.Sc. (3 SKS)",DA,0,0,0,0,0,0,0,0,0,0,0,0
9,TF2104,Rekayasa Termal,2,0,1,3,03,70,49,Dr. Eng. Nugraha (3 SKS),NG,0,0,0,0,0,0,0,0,0,0,0,0
10,TF2104,Rekayasa Termal,2,0,1,3,06,60,48,"Narendra Kurnia Putra, S.T., M.T., Ph.D. (3 SKS)",NP,0,0,0,0,0,0,0,0,0,0,0,0
11,TF2105,Elektronika Analog dan Digital,2,0,1,3,01,60,50,"Prof. Dr. Suprijanto, S.T., M.T. (1.5 SKS)
Dr. Eng. Muhammad Iqbal, S.T., M.T. (1.5 SKS)","SP, MI",9121,9019,0,1,Jumat-15.00-16.00,20,10,Kamis-15.00-17.00,16,8,0,0
12,TF2105,Elektronika Analog dan Digital,2,0,1,3,02,60,49,"Dr. Damar Rastri Adhika, S.T, M.Sc. (1.5 SKS)
Dr. Ir. Eko Mursito Budi, M.T. (1.5 SKS)","DA, EB",9121,9019,0,1,Jumat-15.00-16.00,20,10,Kamis-15.00-17.00,16,8,0,0
13,TF2106,Pengantar Biologi untuk Rekayasa,2,0,1,2,01,60,48,"Dr. Eng. Muhammad Iqbal, S.T., M.T. (1 SKS)
Narendra Kurnia Putra, S.T., M.T., Ph.D. (1 SKS)","MI, NP",0,,0,0,0,0,0,0,0,0,0,0
14,TF2106,Pengantar Biologi untuk Rekayasa,2,0,1,2,02,60,46,"Narendra Kurnia Putra, S.T., M.T., Ph.D. (1 SKS)
Dr. Eng. Muhammad Iqbal, S.T., M.T. (1 SKS)","NP, MI",0,,0,0,0,0,0,0,0,0,0,0
15,TF2107,Laboratorium Teknik Fisika I,2,0,3,2,01,60,47,"Dr. Eng. Muhammad Iqbal, S.T., M.T. (1 SKS)
Dr. Ir. Eko Mursito Budi, M.T. (1 SKS)","MI, EB",0,,0,0,0,0,0,0,0,0,0,0
16,TF2107,Laboratorium Teknik Fisika I,2,0,3,2,02,60,46,"Dr. Ir. Eko Mursito Budi, M.T. (1 SKS)
Dr. Eng. Muhammad Iqbal, S.T., M.T. (1 SKS)","EB, MI",0,9135,0,0,0,0,0,0,0,0,0,0
