KodeMatkul,NamaMatkul,Kelas,Tipe,Tingkat,sks,InisialDosen,NamaDosen,KuotaMatkul,MatkulSusah,jadwalfix,jadwal1jam,Group1jam,Group3_1jam,jadwal2jam,Group2jam,Group3_2jam,jadwal4jam,Group4jam,,,,,,
TF2210,Matematika Rekayasa 2 01,1,1,2,3,HK,Prof Ir Hermawan Kresno Dipojono MSEE PhD,45,0,0,,0,0,,0,0,,0,,,,,,
TF2210,Matematika Rekayasa 2 02,2,1,2,3,KA,Mohammad Kemal Agusta ST MEng PhD,45,0,0,,0,0,,0,0,,0,,,,,,
TF2202,Komputasi Rekayasa 01,1,1,2,3,KA,Mohammad Kemal Agusta ST MEng PhD,45,0,0,,0,0,,0,0,,0,,,,,,
TF2202,Komputasi Rekayasa 02,2,1,2,3,NG,Nugraha DrEng,45,0,0,,0,0,,0,0,,0,,,,,,
TF2203,Sistem Logika dan Digital 01,1,1,2,2,EM,Dr Ir Eko Mursito Budi MT,45,0,0,,0,0,,0,0,,0,,,,,Tipe,
TF2203,Sistem Logika dan Digital 02,2,1,2,2,PS,Dr Ing Ir Parsaulian Ishaya Siregar Dipl Ing,45,0,0,,0,0,,0,0,,0,,,,,1,Wajib
TF2204,Mekanika Fluida 01,1,1,2,3,NG,Nugraha DrEng,45,0,0,,0,0,,0,0,,0,,,,,2,Pilihan
TF2204,Mekanika Fluida 02,2,1,2,3,DR,Dr Damar Rastri Adhika ST MSc,45,0,0,,0,0,,0,0,,0,,,,,3,Praktikum
TF2205,Elektromagnetika 01,1,1,2,3,SP,Dr Suprijanto ST MT,45,1,0,,0,0,,0,0,,0,,,,,*Petunjuk pengisian Group,
TF2205,Elektromagnetika 02,2,1,2,3,KA,Mohammad Kemal Agusta ST MEng PhD,45,1,0,,0,0,,0,0,,0,,,,,"Untuk input jadwal manual, ",
TF2206,Konversi Energi dan Aktuator 01,1,1,2,3,DR,Dr Damar Rastri Adhika ST MSc,45,0,0,,0,0,,0,0,,0,,,,,"Group1jam, Group2jam dan ",
TF2206,Konversi Energi dan Aktuator 02,2,1,2,3,AW,Augie Widyotriatmo ST MT PhD,45,0,0,,0,0,,0,0,,0,,,,,Group4jam diambil dari group2 ,
TF2207,Laboratorium Teknik Fisika II 01 (Praktikum),1,3,2,4,,,45,0,1,,0,0,,0,0,Senin-07.00-11.00,1,,,,,"pada csv ""MeetingTime 1jam dan ",
TF2207,Laboratorium Teknik Fisika II 02 (Praktikum),2,3,2,4,,,45,0,1,,0,0,,0,0,Senin-13.00-17.00,2,,,,,"""MeetingTime2jam"" serta group1 ",
TF2207,Laboratorium Teknik Fisika II 01 (kelas),1,1,2,2,EM,Dr Ir Eko Mursito Budi MT,45,0,0,,0,0,,0,0,,0,,,,,"dari csv ""MeetingTime4jam""",
TF2207,Laboratorium Teknik Fisika II 02 (kelas),2,1,2,2,MH,Dr Eng Muhammad Haris ,45,0,0,,0,0,,0,0,,0,,,,,,
TF3001,Pengembangan Berkelanjutan ,1,1,3,2,BY,Prof Brian Yuliarto PhD,45,0,0,,0,0,,0,0,,0,,,,,,
TF3002,Kapita Selekta Teknik Fisika ,1,1,3,2,TR,Ir R Triyogo MDesSc,45,0,1,,0,0,Jumat-09.00-11.00,18,9,,0,,,,,,
