NO,KodeMatkul,NamaMatkul,Tingkat,MatkulSusah,Tipe,sks,no_kelas,KuotaMatkul,jml_peserta,NamaDosen,InisialDosen,jadwalfix,hari-jam-sesi_1,hari-jam-sesi_2,hari-jam-sesi_3
1,TF2101,Matematika Fisika I,2,0,1,3,1,60,51,"Prof. Ir. Hermawan Kresno Dipojono, M.S.EE, Ph.D. (1.5 SKS) Ir. Miranti Indar Mandasari, S.T., M.T., Ph.D., IPM. (1.5 SKS)","HK, MI",0,0,0,0
2,TF2101,Matematika Fisika I,2,0,1,3,2,60,50,"Ganes Shukri, S.T., M.Eng., Ph.D. (1.5 SKS) Ashari budi Nugraha, S.T., M.T. (1.5 SKS)","GS, AN",0,0,0,0
3,TF2102,Probabilitas dan Statistik,2,0,1,3,1,60,49,"Ir. Estiyanti Ekawati, M.T, Ph.D. (1.5 SKS) Anugrah Sabdono Sudarsono, S.T, M.T, Ph.D. (1.5 SKS)","EE, AS",0,0,0,0
4,TF2102,Probabilitas dan Statistik,2,0,1,3,2,60,55,"Ir. Miranti Indar Mandasari, S.T., M.T., Ph.D., IPM. (1.5 SKS) Rizki Armanto Mangkuto, S.T., M.T., Ph.D. (1.5 SKS)","MI, RM",0,0,0,0
5,TF2103,Komputasi Rekayasa,2,0,1,3,1,60,48,"Dr. Eng. Nugraha (1.5 SKS) Fadjar Fathurrahman, S.T, M.Si., Ph.D. (1.5 SKS)","NG, FF",1,0,Selasa-13.00-15.00,0
6,TF2103,Komputasi Rekayasa,2,0,1,3,2,60,47,"Dr. Eng. Muhammad Haris Mahyuddin, S.T., M.Eng. (1.5 SKS) Iwan Prasetiyo, S.T, M.T, Ph.D. (1.5 SKS)","MH, IP",0,0,0,0
7,TF2104,Rekayasa Termal,2,0,1,3,1,70,48,"Dr. Rahmat Romadhon, S.T, M.T. (3 SKS) Dr. Ahmad Rifqi Muchtar, S.T., M.T. (1 SKS)","RR, AR",0,0,0,0
8,TF2104,Rekayasa Termal,2,0,1,3,2,70,50,"Dr. Damar Rastri Adhika, S.T, M.Sc. (3 SKS)",DA,0,0,0,0
9,TF2104,Rekayasa Termal,2,0,1,3,3,70,49,Dr. Eng. Nugraha (3 SKS),NG,0,0,0,0
10,TF2104,Rekayasa Termal,2,0,1,3,6,60,48,"Narendra Kurnia Putra, S.T., M.T., Ph.D. (3 SKS)",NP,0,0,0,0
