Kode,Jadwal,Group1,Group2,Group3,Blocked
MT2jam1,Senin-07.00-09.00,1,1,1,0
MT2jam2,Senin-09.00-11.00,1,2,1,0
MT2jam3,Senin-13.00-15.00,1,3,2,0
MT2jam4,Senin-15.00-17.00,1,4,2,0
MT2jam5,Selasa-07.00-09.00,2,5,3,0
MT2jam6,Selasa-09.00-11.00,2,6,3,0
MT2jam7,Selasa-13.00-15.00,2,7,4,0
MT2jam8,Selasa-15.00-17.00,2,8,4,0
MT2jam9,Rabu-07.00-09.00,3,9,5,0
MT2jam10,Rabu-09.00-11.00,3,10,5,1
MT2jam11,Rabu-13.00-15.00,3,11,6,0
MT2jam12,Rabu-15.00-17.00,3,12,6,0
MT2jam13,Kamis-07.00-09.00,4,13,7,0
MT2jam14,Kamis-09.00-11.00,4,14,7,0
MT2jam15,Kamis-13.00-15.00,4,15,8,0
MT2jam16,Kamis-15.00-17.00,4,16,8,0
MT2jam17,Jumat-07.00-09.00,5,17,9,0
MT2jam18,Jumat-09.00-11.00,5,18,9,0
MT2jam19,Jumat-13.00-15.00,5,19,10,0
MT2jam20,Jumat-15.00-17.00,5,20,10,0
