Ruangan,Kapasitas
9016,117
9017,117
9018,117
9019,215
9021,215
9025,4
9026,4
9022,1
9023,1
9024,1
9103,1
9104,1
9106,23
9107,1
9108,1
9121,1
9122,1
9123,1
9124,1
9125,1
9126,1
9127,1
9128,1
9131,1
9132,1
9133,1
9134,1
9135,1
9136,1
9137,1
9138,1
9301,107
9302,102
9303,6
9304,6
9305,58
9306,6
9307,88
9308,8
9309,1
9311,48
9401,1
9402,1
9403,24
9404,24
9405,24
TVST-A,215
TVST-B,215
TVST-C,215
Seminar TF 1,50
Seminar TF 2,60
Seminar TF 3,10
Seminar TF 4,42
Seminar TF 5,42
Multimedia TF,20
Ruang Sidang S2/S3,8
Lab. Komputer 1,40
Lab. Komputer 2,40
Lab. Komputer 3,20
